Period,Posts,Likes,Comments,Likes per Post,Comments per Post,Engaged Users
April 2020,2,1810,36,905.0,18.0,1539
August 2020,2,2390,94,1195.0,47.0,1470
December 2020,1,261,5,261.0,5.0,259
February 2021,2,1427,34,713.5,17.0,1158
January 2021,2,1841,66,920.5,33.0,1271
July 2020,1,2114,27,2114.0,27.0,1006
June 2020,1,584,17,584.0,17.0,579
March 2020,6,2913,59,485.5,9.833333333333334,1730
March 2021,1,667,20,667.0,20.0,671
May 2020,2,1325,27,662.5,13.5,1132
November 2020,1,339,5,339.0,5.0,340
October 2020,4,2300,73,575.0,18.25,1539
September 2020,3,1994,28,664.6666666666666,9.333333333333334,1472
