word,frequency
love,1162
happy,880
new,657
time,620
year,605
today,589
not,561
been,536
thank,527
had,492
much,482
d,468
do,466
birthday,452
see,450
when,446
great,429
life,427
little,417
back,411
there,406
best,404
has,398
here,392
got,390
know,388
night,381
good,376
always,362
these,353
go,353
last,348
years,347
first,335
how,331
friends,324
music,304
don,297
am,286
beautiful,283
amazing,281
favorite,278
going,275
christmas,272
hope,272
being,270
people,266
thanks,263
family,262
made,257
fun,253
come,252
them,251
never,249
wait,247
world,246
ll,245
make,241
still,238
song,235
week,234
let,231
every,228
everyone,225
show,224
over,223
him,221
way,215
into,212
days,212
again,206
home,205
their,205
were,203
ever,203
than,203
think,198
things,196
th,195
weekend,195
friend,195
only,194
many,194
live,194
too,193
because,192
miss,190
through,188
after,187
would,187
work,185
even,183
want,182
take,182
tonight,182
really,182
better,182
right,181
heart,179
say,179
also,177
off,175
country,175
down,173
f,172
n,172
well,172
check,172
such,170
girl,168
o,168
could,168
another,166
thankful,165
did,165
getting,165
big,163
most,162
before,160
where,159
other,155
very,154
ago,153
god,153
two,151
together,149
few,146
need,146
baby,144
look,144
those,139
man,139
next,139
morning,139
lot,139
sure,138
hard,138
then,138
excited,138
link,137
proud,134
e,133
feel,131
nashville,131
since,130
soon,130
finally,129
keep,128
old,127
while,126
everything,125
having,125
place,124
snow,124
guys,124
long,123
awesome,121
bio,121
thing,119
single,118
video,117
help,117
friday,116
valentine,116
around,116
didn,114
coming,114
making,114
sweet,113
ready,113
share,112
forever,112
play,112
able,111
doing,110
special,110
put,110
please,108
away,104
believe,104
any,104
yesterday,103
pm,103
times,102
merry,101
full,101
mom,101
post,100
myself,100
may,100
give,100
came,99
dad,99
pretty,97
taking,97
picture,96
tomorrow,96
looking,96
boy,96
took,95
loved,94
without,94
playing,94
support,94
which,92
working,92
crazy,92
enough,91
grateful,91
couldn,90
meet,89
songs,88
lol,88
someone,88
months,88
something,87
each,87
find,87
com,86
until,85
stop,85
person,85
during,85
guy,85
photo,85
feeling,84
house,84
started,84
wanted,84
shows,84
nothing,83
sunday,83
part,83
why,83
stay,83
celebrate,83
memories,82
true,82
start,81
hear,81
went,80
incredible,80
ya,80
gonna,79
done,79
said,78
own,78
boys,77
its,77
top,76
kind,76
face,76
weeks,75
whole,75
different,75
call,75
blessed,75
found,75
perfect,75
super,75
already,74
tell,74
moment,74
should,74
makes,74
brother,73
story,73
pictures,73
team,73
girls,73
cool,73
bring,73
wonderful,72
st,72
anything,72
que,72
band,72
trip,72
left,71
oh,71
change,71
wish,71
almost,70
anyone,70
watching,69
real,69
photos,69
else,69
side,69
definitely,69
couple,69
saturday,68
both,68
bad,68
try,67
end,67
season,67
same,67
party,67
past,67
matter,67
forward,66
words,66
dog,66
enjoy,65
de,65
set,65
safe,65
doesn,65
pre,64
does,64
loves,64
trying,64
ride,64
summer,63
fall,63
truly,62
loving,61
concert,61
directed,61
rt,61
yourself,61
sometimes,61
smile,61
remember,61
head,60
thanksgiving,60
hey,60
sad,60
lost,60
yes,59
experience,59
ice,59
haven,59
hit,59
album,59
game,58
forget,58
missing,58
free,58
water,58
met,58
ask,58
rest,58
imdb,58
letterboxd,58
needed,57
mind,57
oz,57
lives,56
anniversary,56
sister,56
mine,56
early,55
beach,55
living,55
road,54
comes,54
use,54
called,54
state,54
available,54
room,53
might,53
wrote,53
wouldn,53
dream,53
knew,53
save,53
once,53
seeing,53
beauty,53
light,52
kids,52
hours,52
nice,52
cute,52
seen,52
school,52
decided,52
tree,51
walk,51
lucky,51
along,51
winter,51
needs,50
ones,50
behind,50
outside,50
especially,50
wedding,50
spent,50
p,50
thought,50
feels,50
looks,50
concerts,50
tour,50
glad,50
spend,49
soul,49
journey,49
bit,49
small,49
won,48
blue,48
stage,48
month,48
half,47
quarantine,47
listen,47
https,47
though,47
hair,47
cold,47
buddy,47
dinner,47
release,46
strong,46
follow,46
weather,46
isn,46
leave,46
huge,46
open,46
high,46
joy,45
three,45
yet,45
order,45
run,45
mean,45
least,45
city,44
w,44
worth,44
fan,44
sun,44
drive,44
b,44
actually,44
gone,44
easy,44
r,44
wanna,43
saw,43
used,43
win,43
important,43
shot,43
giving,43
everyday,43
date,42
h,42
daughter,42
national,42
gave,42
far,42
adventure,42
others,42
care,42
future,42
stuff,42
cover,42
second,42
wasn,42
means,42
peace,41
c,41
monday,41
late,41
watch,41
ain,41
felt,41
thinking,41
cause,41
written,41
town,41
dreams,41
thursday,40
sorry,40
young,40
talk,40
helping,40
taken,40
rock,40
cheers,39
guess,39
become,39
enjoying,39
honor,39
hearts,39
gift,39
halloween,39
close,39
moments,39
asked,39
business,39
singing,39
probably,39
celebrating,38
talented,38
gets,38
human,38
line,38
starting,38
lots,38
www,38
grow,38
vodka,37
name,37
covid,37
waiting,37
add,37
white,37
disney,37
turn,37
fast,37
hanging,37
continue,36
um,36
damn,36
chance,36
told,36
mother,36
hat,36
heard,36
texas,36
blast,36
brought,36
em,36
food,36
adventures,35
youtube,35
course,35
red,35
car,35
later,35
moon,35
tried,35
hate,35
nd,35
tickets,35
beyond,35
fire,35
played,35
pandemic,35
bar,35
women,34
learn,34
local,34
tuesday,34
deep,34
hot,34
stand,34
job,34
fight,34
x,34
sing,34
kid,34
fans,34
artists,33
happened,33
wild,33
hand,33
holiday,33
happiness,33
join,33
under,33
woman,33
build,33
goes,33
father,33
helped,33
missed,33
ca,33
inside,32
opportunity,32
pain,32
posted,32
moving,32
absolutely,32
truth,32
piece,32
eyes,32
wednesday,32
short,32
throwback,32
hell,32
front,32
chicken,32
book,32
happen,32
money,32
challenge,32
funny,32
lately,32
minutes,32
kvell,32
cannot,31
places,31
l,31
husband,31
wear,31
babe,31
service,31
vegas,31
officially,31
number,31
list,31
congrats,31
appreciate,31
sound,31
health,31
success,31
congratulations,30
walking,30
yours,30
mix,30
view,30
studio,30
putting,30
tune,30
dance,30
between,30
gotta,30
tag,30
pic,30
plus,30
point,30
warm,30
door,30
prayers,30
air,30
break,30
gorgeous,29
lord,29
dogs,29
aunt,29
guitar,29
married,29
takes,29
meeting,29
sunset,29
surprise,29
cup,29
wants,29
ok,29
session,29
artist,29
whatever,29
black,29
october,29
must,29
park,29
possible,29
self,29
radio,29
growing,28
laugh,28
opening,28
letting,28
son,28
natural,28
west,28
wishing,28
changed,28
maybe,28
visit,28
families,28
social,28
heaven,28
learned,28
round,28
taught,28
running,28
hour,28
idea,28
die,28
hang,28
se,28
ladies,27
turned,27
g,27
chris,27
shoot,27
eve,27
listening,27
pieces,27
hopefully,27
february,27
wife,27
deserve,27
given,27
less,27
bed,27
fresh,27
coffee,27
body,27
mama,27
ended,27
goals,26
handsome,26
vote,26
march,26
eat,26
catch,26
art,26
juice,26
send,26
cut,26
sunshine,26
instagram,26
santa,26
july,26
apart,26
store,26
passed,26
shirt,26
filled,26
page,26
sit,26
writing,26
dark,26
